actor,country,month,n_docs,avg_civ_per_1000,total_civ_count,doc_hit_rate
State,Ukraine,2023-07,27,0.0,0,0.0
State,Ukraine,2023-08,36,0.0,0,0.0
State,Ukraine,2023-09,69,0.013815780384355011,1,0.014492753623188406
State,Ukraine,2023-10,37,0.0,0,0.0
State,Ukraine,2023-11,32,0.0,0,0.0
State,Ukraine,2023-12,50,0.0,0,0.0
State,Ukraine,2024-01,25,0.0,0,0.0
State,Ukraine,2024-02,49,0.0,0,0.0
State,Ukraine,2024-03,16,0.0,0,0.0
State,Ukraine,2024-04,69,0.0,0,0.0
State,Ukraine,2024-05,68,0.0,0,0.0
State,Ukraine,2024-06,27,0.0,0,0.0
State,Ukraine,2024-07,45,0.0,0,0.0
State,Ukraine,2024-08,62,0.0,0,0.0
State,Ukraine,2024-09,86,0.0,0,0.0
State,Ukraine,2024-10,81,0.0,0,0.0
State,Ukraine,2024-11,23,0.0,0,0.0
State,Ukraine,2024-12,83,0.012269035408436189,1,0.012048192771084338
