actor,country,month,sovereignty,territorial_integrity,democracy,security,civilization,international_law,human_rights,rules_based
Institution,Institution,2022-02,0.6372470163123154,0.5730456809245393,2.0757991448494617,10.597165348282305,0.0,0.34433935379245867,3.8673817292839927,0.0
Institution,Institution,2022-03,0.448505725323281,0.27483099318840565,1.2846837778575673,10.579477113816928,0.0,0.553111652090943,2.6869381468043585,0.0194908977507504
Institution,Institution,2022-04,0.19833151482087655,0.08012820512820513,1.4113680201136907,12.93636883186083,0.0,1.0988967013871078,2.318853177438506,0.0
Institution,Institution,2022-05,0.22104332449160036,0.30803010250134283,2.804248587690695,11.72665554490582,0.0,0.23468951123453233,2.6467034655862545,0.0
Institution,Institution,2022-06,0.0,0.0,2.314489084597448,16.404656796161962,0.0,0.5053477369191339,4.442445715099231,0.028058361391694722
Institution,Institution,2022-07,0.48322759795927694,0.48322759795927694,3.8689069376073206,13.59778100505658,0.0,0.4885033867530807,3.197592117544409,0.0
Institution,Institution,2022-08,0.0,0.0,0.5828017808370031,11.180705014057894,0.0,0.3116263592423772,1.4064094362007975,0.0
Institution,Institution,2022-09,0.08158834144451557,0.12497228938377805,2.32360331175841,12.463041676110151,0.0,0.9476921952214366,4.214466946657523,0.0
Institution,Institution,2022-10,0.12540757461750687,0.12540757461750687,2.175373119514438,15.340582403692277,0.0,0.40982168155721105,3.8705313786998525,0.0
Institution,Institution,2022-11,0.0,0.0,2.4548269543290377,12.89209939539783,0.0,0.05284713964856652,5.258946287282141,0.0
Institution,Institution,2022-12,0.06885629690835228,0.06885629690835228,3.0445535423360433,15.658204051703654,0.0,0.4493454883159015,5.394767356977313,0.0
Institution,Institution,2023-01,0.005149118470917779,0.0,0.9657929907689817,10.176121363316588,0.0,1.6347066342037664,2.318573491912127,0.0
Institution,Institution,2023-02,0.5739286044294661,0.5739286044294661,2.25783512982552,17.41527421774597,0.0,1.7629136585341723,1.124864253262142,0.0
Institution,Institution,2023-03,0.0,0.0,0.7516518154816028,9.902364067959436,0.0,0.584966364434045,0.7193593027668389,0.0
Institution,Institution,2023-04,1.3806304741295161,1.3806304741295161,0.21673168617251845,13.59312068477054,0.0,0.4334633723450369,0.7473365675741643,0.0
Institution,Institution,2023-05,0.0,0.0,4.871718819516536,11.457498615640828,0.0,0.0,0.8148662104616428,0.0
Institution,Institution,2023-06,0.6851953212106469,0.6851953212106469,4.729781720721527,16.63455328093495,0.0,1.247308868147128,0.5988938160570164,0.0
Institution,Institution,2023-07,0.0,0.0,0.0,26.98768121146916,0.0,3.292981815685687,1.5647621187159904,0.0
Institution,Institution,2023-08,0.0,0.0,0.0,26.265380011333132,0.0,3.1642448781779806,1.1862396204033214,0.0
Institution,Institution,2023-09,0.1277791975466394,0.1277791975466394,2.801120448179272,11.322543083959937,0.0,0.7926703801962015,1.2187594806933852,0.0
Institution,Institution,2023-10,0.0,0.0,0.9413979759943516,12.268432144638355,0.0,1.2797272996454028,0.9698205231968807,0.0
Institution,Institution,2023-11,0.0,0.0,0.0,9.2200694534025,0.0,0.9030127823913995,0.35351274916162345,0.0
Institution,Institution,2023-12,0.2664535038635758,0.2664535038635758,1.9157088122605361,21.496342585982987,0.0,2.847548104365906,2.155395600523708,0.0
Institution,Institution,2024-01,0.011369450287078621,0.0,6.620308296786833,18.231301969285767,0.0,1.4696022426039104,0.8740768873186683,0.0
Institution,Institution,2024-02,0.10101010101010102,0.30303030303030304,1.4879964597853745,14.161220863314162,0.0,1.5451857843162191,1.318264092932148,0.0
Institution,Institution,2024-03,0.0,0.0,0.846743708823847,17.836147562668113,0.0,3.296833351866194,1.2247409525984487,0.0
Institution,Institution,2024-04,0.70219211893824,1.6006538755344677,3.058774127282569,11.313991357235372,0.0,2.532043948377222,0.2569373072970195,0.0
Institution,Institution,2024-05,0.0,0.0,0.6361323155216285,17.895422568749915,0.0,2.5,1.25,0.0
Institution,Institution,2024-06,0.0,0.0,3.1317888460745604,11.28521001025457,0.0,1.9461004724470552,1.315757413318389,0.0
Institution,Institution,2024-07,0.0,0.0,0.0,9.55698678409155,0.0,2.1929824561403506,1.0964912280701753,0.0
Institution,Institution,2024-08,0.45413260672116257,0.45413260672116257,2.5760472076489935,21.33921746320566,0.0,1.3067502986857824,1.8299749696377263,0.0
Institution,Institution,2024-09,0.13842746400885936,0.13842746400885936,4.990250571988422,15.550121703882875,0.0,2.7399491796745354,0.9839189126610673,0.0
Institution,Institution,2024-10,0.17485574401119078,0.17485574401119078,2.2731246721454803,22.48093002570718,0.0,2.1213198537860647,1.4103714149154138,0.0
Institution,Institution,2024-11,0.0,0.0,0.20996132316558935,12.981437726534836,0.0,1.3110642879188505,0.13766519823788548,0.0
Institution,Institution,2024-12,0.32393909944930355,0.32393909944930355,0.0,13.038238848379638,0.0,1.0040426913871483,0.7286554280480778,0.0
State,Georgia,2022-02,3.3720762027799394,3.3720762027799394,0.08888888888888888,7.937918368108105,0.0,2.6620697511468965,2.548253322446871,0.08888888888888888
State,Georgia,2022-03,4.5317061220578525,4.5317061220578525,1.2081914446984188,6.992764736502638,0.0,1.6825765509158135,1.983244074952267,0.3032140691328078
State,Georgia,2022-04,3.106457433455461,3.92545825245628,0.24177949709864602,7.383444866414184,0.0,1.6810116364114451,3.7876810254575703,0.3442777415380155
State,Georgia,2022-05,2.364659657255554,2.364659657255554,2.967645333580316,1.032763532763533,0.0,0.36549707602339176,1.9977521837821606,0.2354048964218456
State,Georgia,2022-06,1.9199395132230954,1.9199395132230954,0.9555661729574773,5.977656257507005,0.0,0.34340659340659346,2.3016536603493125,0.0
State,Georgia,2022-07,3.740278192436482,3.740278192436482,0.0,5.615612455082618,0.0,0.0,0.0,0.0
State,Georgia,2022-08,1.5649452269170578,1.5649452269170578,0.0,9.752407010125506,0.0,0.7824726134585289,4.694835680751174,0.0
State,Georgia,2022-09,1.5952626990675016,1.5952626990675016,2.202744585982349,7.131262253080905,0.0,1.3377926421404682,3.39354340799522,0.0
State,Georgia,2022-10,5.371994944073982,5.371994944073982,0.7598784194528875,2.1154665262552412,0.0,1.152073732718894,0.0,0.0
State,Georgia,2022-11,1.1632386626715894,1.1632386626715894,0.7107320540156361,7.285975610997805,0.0,0.0,3.1839471348160373,0.0
State,Georgia,2022-12,7.740813220265276,7.740813220265276,0.0,0.0,0.0,4.566210045662101,2.372479240806643,0.0
