doc_id,site,url,title,date,raw_path,clean_path,n_chars,kw_hit,sim_max
ea4ad1b382788a183c70e4def684cd93f73fc4fd,kremlin,http://en.kremlin.ru/events/president/news/67907,Telephone conversation with Federal Chancellor of Germany Olaf Scholz • President of Russia,2022-03-04,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/ea4ad1b382788a183c70e4def684cd93f73fc4fd.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/ea4ad1b382788a183c70e4def684cd93f73fc4fd.txt,3208,True,0.46371144
b4707a71241638250d8e1b52e8e07648b64ab9e9,kremlin,http://en.kremlin.ru/events/president/news/75782,Media statements by the Presidents of Russia and Belarus • President of Russia,2024-12-06,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/b4707a71241638250d8e1b52e8e07648b64ab9e9.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/b4707a71241638250d8e1b52e8e07648b64ab9e9.txt,9210,True,0.462663
810c6af672e40d26c2a5b6b1c909d820e25e1fdc,kremlin,http://en.kremlin.ru/events/president/news/70908,Greetings on opening the 2023 Memory Watch national campaign and on the 10th anniversary of the Russian Search Movement • President of Russia,2023-04-14,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/810c6af672e40d26c2a5b6b1c909d820e25e1fdc.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/810c6af672e40d26c2a5b6b1c909d820e25e1fdc.txt,1630,True,0.46154773
db67b97539b92db5820ce2029e29f4c2eaf88378,kremlin,http://en.kremlin.ru/events/president/news/72277,Vladimir Putin and Alexander Lukashenko answered media questions • President of Russia,2023-09-15,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/db67b97539b92db5820ce2029e29f4c2eaf88378.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/db67b97539b92db5820ce2029e29f4c2eaf88378.txt,7157,True,0.4609285
9c5079f09b7b33b5629e6d8b4c7406abef126aa7,kremlin,http://en.kremlin.ru/events/president/news/67818,Telephone conversation with President of France Emmanuel Macron • President of Russia,2022-02-20,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/9c5079f09b7b33b5629e6d8b4c7406abef126aa7.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/9c5079f09b7b33b5629e6d8b4c7406abef126aa7.txt,2119,True,0.45913342
8b8c8491ef473c06689ce24bc95d61d53d904961,kremlin,http://en.kremlin.ru/events/president/news/70870,Security Council meeting • President of Russia,2023-04-05,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/8b8c8491ef473c06689ce24bc95d61d53d904961.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/8b8c8491ef473c06689ce24bc95d61d53d904961.txt,24289,True,0.45895708
b10bdcb9ea76c080fc15f41d28231dd3c0ff5f09,kremlin,http://en.kremlin.ru/events/president/news/68451,Security Council meeting • President of Russia,2022-05-20,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/b10bdcb9ea76c080fc15f41d28231dd3c0ff5f09.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/b10bdcb9ea76c080fc15f41d28231dd3c0ff5f09.txt,8664,True,0.45734236
ee1a27fc49a9cc7a6d14e0cdcfe23e6fefd0f43c,kremlin,http://en.kremlin.ru/events/president/news/67759,Telephone conversation with President of France Emmanuel Macron • President of Russia,2022-02-12,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/ee1a27fc49a9cc7a6d14e0cdcfe23e6fefd0f43c.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/ee1a27fc49a9cc7a6d14e0cdcfe23e6fefd0f43c.txt,2007,True,0.45687374
3493745eeb6fe149a4f609a42e3c3d0ead61d892,kremlin,http://en.kremlin.ru/events/president/news/72746,"Greetings to the current and former staff of the Federal Service for Supervision of Communications, Information Technology and Mass Media • President of Russia",2023-11-15,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/3493745eeb6fe149a4f609a42e3c3d0ead61d892.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/3493745eeb6fe149a4f609a42e3c3d0ead61d892.txt,1608,True,0.45603123
70eb46c52e4972dc35a835c1c52dbb35eb74ba7e,kremlin,http://en.kremlin.ru/events/president/news/74654,Speech at the meeting with heads of foreign delegations taking part in Russia's Navy Day celebrations • President of Russia,2024-07-28,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/70eb46c52e4972dc35a835c1c52dbb35eb74ba7e.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/70eb46c52e4972dc35a835c1c52dbb35eb74ba7e.txt,2200,True,0.4555164
