doc_id,site,url,title,date,raw_path,clean_path,n_chars,year,month,quarter
0bc5a221ce314a3f07859e3b2a66cdd6cf0cc3bc,mfa_georgia,https://mfa.gov.ge/en/news/213776-ilia-darchiashvilma-turqetis-elchtan-gamosamshvido,Ilia Darchiashvili has held a farewell meeting with the Turkish Ambassador | Ministry of Foreign Affairs of Georgia,2022-06-16,,data/clean/georgia/mfa_georgia/0bc5a221ce314a3f07859e3b2a66cdd6cf0cc3bc.txt,1250.0,2022,6,2022Q2
4da15becd20e4f0607e1a2fc843696d46d4344df,mfa_georgia,https://mfa.gov.ge/en/news/214675-davit-zalkaliani-daniel-kolegas-shekhvda,"David Zalkaliani has met with his Danish counterpart, Jeppe Kofod | Ministry of Foreign Affairs of Georgia",2022-03-31,,data/clean/georgia/mfa_georgia/4da15becd20e4f0607e1a2fc843696d46d4344df.txt,1552.0,2022,3,2022Q1
9518aef052533e12958fd12634a52c94c909d77a,mfa_georgia,https://mfa.gov.ge/en/news/214808-ormkhrivi-konsultaciebi-saqartvelosa-da-lietuvis-r,Bilateral consultations between the Ministries of Foreign Affairs of Georgia and the Republic of Lithuania | Ministry of Foreign Affairs of Georgia,2022-06-02,,data/clean/georgia/mfa_georgia/9518aef052533e12958fd12634a52c94c909d77a.txt,2371.0,2022,6,2022Q2
1c65d14e149b8f4e8ae9b9e84800422c1db4840c,mfa_georgia,https://mfa.gov.ge/en/news/215730-saqartvelosa-da-turqetis-respublikis-sagareo-saqmeta-saministroebs-shoris-politikuri-konsultatsiebis,Another round of political consultations held between the Ministries of Foreign Affairs of Georgia and the Republic of Turkiye | Ministry of Foreign Affairs of Georgia,2023-09-12,,data/clean/georgia/mfa_georgia/1c65d14e149b8f4e8ae9b9e84800422c1db4840c.txt,2026.0,2023,9,2023Q3
50c144ac6322e40a89508155a1ef619c8125d92d,mfa_georgia,https://mfa.gov.ge/en/news/216596-briuselshi-saqartvelos-saelchos-mkhardatcherit-belgiisa-da-holandiis-eparqiis-daarsebis-10-tslis-iub,The 10th Anniversary of the Belgian and Dutch Diocese of the Georgian Church has been celebrated in Brussels  | Ministry of Foreign Affairs of Georgia,2024-06-16,,data/clean/georgia/mfa_georgia/50c144ac6322e40a89508155a1ef619c8125d92d.txt,1532.0,2024,6,2024Q2
ce2d66bdacfde5b7ab7e43761d95f2ee487e4d9c,mfa_georgia,https://mfa.gov.ge/en/news/217961-qartuli-diaspora-tavisi-kavshirebita-da-tanamedrov,"With its connections and tools of public diplomacy, the Georgian diaspora is a strategically important resource on the path of Georgia’s European integration"" - Vladimer Konstantinidi | Ministry of Foreign Affairs of Georgia",2022-11-01,,data/clean/georgia/mfa_georgia/ce2d66bdacfde5b7ab7e43761d95f2ee487e4d9c.txt,1034.0,2022,11,2022Q4
8c12b2cb26f671aa5ee877fb596c612a02337270,mfa_georgia,https://mfa.gov.ge/en/news/218037-teimuraz-janjaliam-vishegradis-saertashoriso-fondi,Teimuraz Janjalia has met with the Executive Director of Visegrad International Fund | Ministry of Foreign Affairs of Georgia,2022-09-27,,data/clean/georgia/mfa_georgia/8c12b2cb26f671aa5ee877fb596c612a02337270.txt,1024.0,2022,9,2022Q3
55ed1470523165d09660872627da278c040200b4,mfa_georgia,https://mfa.gov.ge/en/news/218666-saqartvelosa-da-gaertianebul-samephos-shoris-gamartuli-uordropis-strategiuli-dialogis-merve-raundis-ertoblivi-komunike,JOINT COMMUNIQUÉ of the eighth round of the Georgia-UK Wardrop Strategic Dialogue | Ministry of Foreign Affairs of Georgia,2023-02-13,,data/clean/georgia/mfa_georgia/55ed1470523165d09660872627da278c040200b4.txt,4212.0,2023,2,2023Q1
44696d10fc1e0695b8197d17b870c605627c8e2f,mfa_georgia,https://mfa.gov.ge/en/news/218738-evropis-sabch-os-adamianis-uflebata-komisris-vizit,​Visit of the Council of Europe Commissioner for Human Rights to Georgia | Ministry of Foreign Affairs of Georgia,2022-02-21,,data/clean/georgia/mfa_georgia/44696d10fc1e0695b8197d17b870c605627c8e2f.txt,776.0,2022,2,2022Q1
5923f2325125e7e326ca57ee21677b0f4e28fde2,mfa_georgia,https://mfa.gov.ge/en/news/219377-vladimer-konstantinidim-monatsileoba-miigho-suam-is-tsevri-qveknebis-erovnuli-koordinatorebis-sabtch,Vladimer Konstantinidi has participated in the meeting of the Council of National Coordinators of GUAM member states | Ministry of Foreign Affairs of Georgia,2023-12-01,,data/clean/georgia/mfa_georgia/5923f2325125e7e326ca57ee21677b0f4e28fde2.txt,1486.0,2023,12,2023Q4
f1ee2562a082ecf6887d97c4fe885457c895364c,mfa_georgia,https://mfa.gov.ge/en/news/220965-saqartvelos-moqalaqeebistvis-dasaqmebis-gamartiveb,"""Offering a simplified employment mechanism to Georgian citizens is another clear confirmation of Hungary's unwavering support"" - Ilia Darchiashvili | Ministry of Foreign Affairs of Georgia",2022-07-29,,data/clean/georgia/mfa_georgia/f1ee2562a082ecf6887d97c4fe885457c895364c.txt,2662.0,2022,7,2022Q3
8b75db541c78709a453e03f6f72f505fe560144f,mfa_georgia,https://mfa.gov.ge/en/news/221002-lasha-darsaliam-mtsire-kundzulovani-ganvitarebadi-sakhelmtsiphoebis-shesakheb-gaero-s-konpherentsias,Lasha Darsalia has participated in the fourth International Conference on Small Island Developing States (SIDS4) | Ministry of Foreign Affairs of Georgia,2022-10-02,,data/clean/georgia/mfa_georgia/8b75db541c78709a453e03f6f72f505fe560144f.txt,1149.0,2022,10,2022Q4
